Position, True thickness, Amplitude thickness
nm, nm, nm
, , 5% Noise
 46.300000,  50.000000,  50.644975
 46.400000,  50.000000,  50.419264
 46.500000,  50.000000,  50.134406
 46.600000,  50.000000,  49.938482
 46.700000,  50.000000,  49.882685
 46.800000,  50.000000,  49.868300
 46.900000,  50.000000,  49.899283
 47.000000,  50.000000,  50.003649
 47.100000,  50.000000,  50.052044
 47.200000,  50.000000,  50.057893
 47.300000,  50.000000,  50.035766
 47.400000,  50.000000,  49.986723
 47.500000,  50.000000,  49.818828
 47.600000,  50.000000,  49.626190
 47.700000,  50.000000,  49.463733
 47.800000,  50.000000,  49.415456
 47.900000,  50.000000,  49.417671
 48.000000,  50.000000,  49.501677
 48.100000,  50.000000,  50.224839
 48.200000,  50.000000,  51.178863
 48.300000,  50.000000,  51.279006
 48.400000,  50.000000,  51.298022
 48.500000,  50.000000,  51.301935
 48.600000,  50.000000,  50.921200
 48.700000,  50.000000,  50.735954
 48.800000,  50.000000,  50.732330
 48.900000,  50.000000,  50.791777
 49.000000,  50.000000,  50.833911
 49.100000,  50.000000,  50.824012
 49.200000,  50.000000,  50.402796
 49.300000,  50.000000,  50.136876
 49.400000,  50.000000,  50.107417
 49.500000,  50.000000,  50.104367
 49.600000,  50.000000,  50.112740
 49.700000,  50.000000,  50.135518
 49.800000,  50.000000,  50.159737
 49.900000,  50.000000,  50.221267
 50.000000,  50.000000,  50.498794
 50.100000,  50.000000,  50.747340
 50.200000,  50.000000,  50.842352
 50.300000,  50.000000,  50.776411
 50.400000,  50.000000,  50.614593
 50.500000,  50.000000,  50.602944
 50.600000,  50.000000,  50.780345
 50.700000,  50.000000,  51.096107
 50.800000,  50.000000,  51.137727
 50.900000,  50.000000,  51.134170
 51.000000,  50.000000,  49.746178
 51.100000,  50.000000,  48.964577
