Position, V_true, V_rec, V_fit, V_rec, V_fit
nm, V, V, V, V, V
, , 5% Noise, 5% Noise, 10% Noise, 10% Noise
 25.000000,   0.000000,  -0.071143,  -0.004622,   0.090429,  -0.029301
 25.100000,   0.000000,  -0.057389,  -0.004622,   0.090895,  -0.029302
 25.200000,   0.000000,  -0.045727,  -0.004622,   0.070008,  -0.029302
 25.300000,   0.000000,  -0.038570,  -0.004622,   0.032862,  -0.029302
 25.400000,   0.000000,  -0.039861,  -0.004622,  -0.005930,  -0.029302
 25.500000,   0.000000,  -0.046478,  -0.004622,  -0.031923,  -0.029302
 25.600000,   0.000000,  -0.048091,  -0.034581,  -0.042712,  -0.054980
 25.700000,   0.000000,  -0.038562,  -0.034581,  -0.046553,  -0.054980
 25.800000,   0.000000,  -0.024781,  -0.034581,  -0.049953,  -0.054980
 25.900000,   0.000000,  -0.018933,  -0.034581,  -0.051043,  -0.054980
 26.000000,   0.000000,  -0.022877,  -0.034581,  -0.044546,  -0.054980
 26.100000,   0.000000,  -0.023222,  -0.034581,  -0.030339,  -0.054979
 26.200000,   0.000000,  -0.005276,  -0.034581,  -0.015195,  -0.054979
 26.300000,   0.000000,   0.026387,  -0.034581,  -0.006189,  -0.054979
 26.400000,   0.000000,   0.047043,  -0.034581,  -0.004625,  -0.054978
 26.500000,   0.000000,   0.034995,  -0.034581,  -0.007323,  -0.054977
 26.600000,   0.000000,  -0.006203,  -0.034581,  -0.011899,  -0.054976
 26.700000,   0.000000,  -0.048538,  -0.034581,  -0.018641,  -0.054973
 26.800000,   0.000000,  -0.064216,  -0.034581,  -0.027628,  -0.054970
 26.900000,   0.000000,  -0.049796,  -0.034581,  -0.036460,  -0.054964
 27.000000,   0.000000,  -0.024694,  -0.034580,  -0.041977,  -0.054956
 27.100000,   0.000000,  -0.009892,  -0.034580,  -0.042288,  -0.054945
 27.200000,   0.000000,  -0.010485,  -0.034580,  -0.035524,  -0.054927
 27.300000,   0.000001,  -0.017151,  -0.034579,  -0.018863,  -0.054902
 27.400000,   0.000001,  -0.021133,  -0.034578,   0.006851,  -0.054866
 27.500000,   0.000003,  -0.022835,  -0.034576,   0.030042,  -0.054814
 27.600000,   0.000005,  -0.026143,  -0.034573,   0.030222,  -0.054740
 27.700000,   0.000008,  -0.030514,  -0.034567,  -0.006111,  -0.054637
 27.800000,   0.000013,  -0.032934,  -0.034558,  -0.067698,  -0.054494
 27.900000,   0.000022,  -0.036120,  -0.034545,  -0.120736,  -0.054296
 28.000000,   0.000036,  -0.048843,  -0.034523,  -0.135967,  -0.054026
 28.100000,   0.000059,  -0.074539,  -0.034489,  -0.114000,  -0.053661
 28.200000,   0.000094,  -0.101541,  -0.034438,  -0.082241,  -0.053170
 28.300000,   0.000150,  -0.110212,  -0.034360,  -0.068088,  -0.052518
 28.400000,   0.000235,  -0.093566,  -0.034244,  -0.075460,  -0.051659
 28.500000,   0.000364,  -0.067414,  -0.034072,  -0.087699,  -0.050537
 28.600000,   0.000557,  -0.056056,  -0.033822,  -0.090100,  -0.049085
 28.700000,   0.000843,  -0.067883,  -0.033461,  -0.082580,  -0.047224
 28.800000,   0.001259,  -0.086157,  -0.032948,  -0.069684,  -0.044861
 28.900000,   0.001857,  -0.086390,  -0.032227,  -0.046488,  -0.041886
 29.000000,   0.002706,  -0.062319,  -0.031226,  -0.004003,  -0.038177
 29.100000,   0.003895,  -0.031629,  -0.029854,   0.051155,  -0.033597
 29.200000,   0.005538,  -0.017230,  -0.027996,   0.092495,  -0.027995
 29.300000,   0.007776,  -0.024393,  -0.025514,   0.097096,  -0.021207
 29.400000,   0.010786,  -0.037036,  -0.022238,   0.073265,  -0.013063
 29.500000,   0.014777,  -0.037144,  -0.017971,   0.057111,  -0.003387
 29.600000,   0.019996,  -0.023300,  -0.012482,   0.073161,   0.007996
 29.700000,   0.026726,  -0.008061,  -0.005515,   0.101785,   0.021252
 29.800000,   0.035284,  -0.002197,   0.003212,   0.096008,   0.036533
 29.900000,   0.046010,  -0.004319,   0.013999,   0.036157,   0.053965
 30.000000,   0.059261,  -0.005068,   0.027153,  -0.038260,   0.073641
 30.100000,   0.075391,   0.001501,   0.042974,  -0.062743,   0.095610
 30.200000,   0.094735,   0.014704,   0.061739,  -0.010142,   0.119869
 30.300000,   0.117581,   0.034198,   0.083680,   0.086743,   0.146351
 30.400000,   0.144147,   0.064454,   0.108963,   0.168428,   0.174919
 30.500000,   0.174547,   0.109111,   0.137664,   0.207062,   0.205362
 30.600000,   0.208764,   0.163137,   0.169747,   0.228867,   0.237389
 30.700000,   0.246625,   0.215807,   0.205042,   0.272694,   0.270631
 30.800000,   0.287779,   0.262340,   0.243229,   0.340145,   0.304643
 30.900000,   0.331679,   0.308531,   0.283829,   0.396046,   0.338911
 31.000000,   0.377585,   0.361238,   0.326201,   0.412744,   0.372863
 31.100000,   0.424571,   0.415462,   0.369549,   0.409197,   0.405885
 31.200000,   0.471547,   0.456082,   0.412944,   0.432041,   0.437335
 31.300000,   0.517294,   0.475779,   0.455347,   0.495750,   0.466567
 31.400000,   0.560516,   0.487447,   0.495651,   0.563239,   0.492948
 31.500000,   0.599898,   0.513998,   0.532727,   0.583035,   0.515886
 31.600000,   0.634169,   0.563356,   0.565474,   0.538972,   0.534848
 31.700000,   0.662172,   0.616078,   0.592873,   0.474552,   0.549382
 31.800000,   0.682928,   0.643585,   0.614041,   0.455544,   0.559134
 31.900000,   0.695692,   0.636174,   0.628277,   0.498831,   0.563863
 32.000000,   0.700000,   0.610400,   0.635101,   0.561950,   0.563454
 32.100000,   0.695692,   0.592253,   0.634280,   0.591482,   0.557915
 32.200000,   0.682928,   0.591288,   0.625842,   0.566093,   0.547385
 32.300000,   0.662172,   0.592078,   0.610074,   0.511180,   0.532121
 32.400000,   0.634169,   0.575001,   0.587507,   0.474524,   0.512495
 32.500000,   0.599898,   0.538861,   0.558884,   0.475990,   0.488973
 32.600000,   0.560516,   0.500104,   0.525122,   0.493266,   0.462098
 32.700000,   0.517294,   0.474286,   0.487260,   0.494268,   0.432471
 32.800000,   0.471547,   0.458740,   0.446412,   0.465871,   0.400728
 32.900000,   0.424571,   0.435759,   0.403706,   0.416600,   0.367516
 33.000000,   0.377585,   0.393282,   0.360237,   0.361571,   0.333473
 33.100000,   0.331679,   0.336913,   0.317023,   0.306852,   0.299209
 33.200000,   0.287779,   0.282492,   0.274969,   0.249692,   0.265287
 33.300000,   0.246625,   0.240701,   0.234837,   0.191169,   0.232210
 33.400000,   0.208764,   0.209211,   0.197234,   0.141654,   0.200412
 33.500000,   0.174547,   0.179658,   0.162604,   0.111615,   0.170249
 33.600000,   0.144147,   0.148959,   0.131235,   0.100221,   0.142000
 33.700000,   0.117581,   0.119915,   0.103267,   0.095440,   0.115865
 33.800000,   0.094735,   0.093286,   0.078709,   0.086020,   0.091967
 33.900000,   0.075391,   0.064398,   0.057464,   0.072370,   0.070363
 34.000000,   0.059261,   0.029981,   0.039350,   0.062727,   0.051048
 34.100000,   0.046010,  -0.003771,   0.024124,   0.059304,   0.033965
 34.200000,   0.035284,  -0.025155,   0.011502,   0.052087,   0.019015
 34.300000,   0.026726,  -0.030307,   0.001182,   0.027418,   0.006067
 34.400000,   0.019996,  -0.028620,  -0.007144,  -0.016112,  -0.005034
 34.500000,   0.014777,  -0.032839,  -0.013771,  -0.059876,  -0.014455
 34.600000,   0.010786,  -0.044689,  -0.018978,  -0.077489,  -0.022372
 34.700000,   0.007776,  -0.051577,  -0.023015,  -0.057679,  -0.028960
 34.800000,   0.005538,  -0.040617,  -0.026106,  -0.013891,  -0.034389
 34.900000,   0.003895,  -0.015570,  -0.028441,   0.028121,  -0.038821
 35.000000,   0.002706,   0.005121,  -0.030184,   0.050558,  -0.042404
 35.100000,   0.001857,   0.006344,  -0.031468,   0.052297,  -0.045274
 35.200000,   0.001259,  -0.010143,  -0.032402,   0.042069,  -0.047551
 35.300000,   0.000843,  -0.028201,  -0.033073,   0.027499,  -0.049341
 35.400000,   0.000557,  -0.032854,  -0.033549,   0.010665,  -0.050735
 35.500000,   0.000364,  -0.022811,  -0.033883,  -0.008822,  -0.051811
 35.600000,   0.000235,  -0.007428,  -0.034114,  -0.029430,  -0.052634
 35.700000,   0.000150,   0.004017,  -0.034273,  -0.047332,  -0.053258
 35.800000,   0.000094,   0.007519,  -0.034379,  -0.058852,  -0.053726
 35.900000,   0.000059,   0.002112,  -0.034451,  -0.062524,  -0.054075
 36.000000,   0.000036,  -0.013050,  -0.034498,  -0.060517,  -0.054332
 36.100000,   0.000022,  -0.037118,  -0.034528,  -0.059731,  -0.054520
 36.200000,   0.000013,  -0.064256,  -0.034548,  -0.070300,  -0.054656
 36.300000,   0.000008,  -0.084628,  -0.034561,  -0.098938,  -0.054754
